video_id,index,url,type
c4292073,0,http://media-cdn.twitch.tv/store90.media66/archives/2014-5-20/live_user_microsoftstudiosgames_1400605421.flv,c
c4292073,1,http://media-cdn.twitch.tv/store76.media59/archives/2014-5-20/live_user_microsoftstudiosgames_1400607224.flv,c
a528335055,-1,,
c4623521,0,http://store85.media64.justin.tv/archives/2014-7-8/live_user_playouya_1404853291.flv,c
c4623521,1,http://store142.media96.justin.tv/archives/2014-7-8/live_user_playouya_1404855094.flv,c
c4623521,2,http://store22.media80.justin.tv/archives/2014-7-8/live_user_playouya_1404856895.flv,c
a383530049,-1,,
a503562596,-1,,
a499495683,-1,,
c1676634,-1,,
a375539200,-1,,
c2604109,-1,,
c4599123,-1,,
a396280713,-1,,
a519063441,0,http://store77.media60.justin.tv/archives/2014-4-12/live_user_sega_channel_retro_1397264266.flv,a
a519063441,1,http://store103.media68.justin.tv/archives/2014-4-12/live_user_sega_channel_retro_1397266069.flv,a
a519063441,2,http://store108.media72.justin.tv/archives/2014-4-12/live_user_sega_channel_retro_1397267869.flv,a
a519063441,3,http://store70.media57.justin.tv/archives/2014-4-12/live_user_sega_channel_retro_1397269673.flv,a
a519063441,4,http://store137.media93.justin.tv/archives/2014-4-12/live_user_sega_channel_retro_1397271475.flv,a
a519063441,5,http://store116.media81.justin.tv/archives/2014-4-12/live_user_sega_channel_retro_1397273274.flv,a
a550206232,-1,,
a361904703,-1,,
c1760413,-1,,
a518381221,-1,,
a475335023,0,http://store149.media99.justin.tv/archives/2013-10-31/live_user_sega_1383255005.flv,a
a475335023,1,http://store146.media98.justin.tv/archives/2013-10-31/live_user_sega_1383256807.flv,a
a475335023,2,http://store87.media65.justin.tv/archives/2013-10-31/live_user_sega_1383258609.flv,a
a475335023,3,http://store146.media98.justin.tv/archives/2013-10-31/live_user_sega_1383260410.flv,a
a412105584,-1,,
c3906520,0,http://media-cdn.twitch.tv/store68.media56/archives/2014-3-13/live_user_microsoftstudiosgames_1394742700.flv,c
c3906520,1,http://media-cdn.twitch.tv/store154.media102/archives/2014-3-13/live_user_microsoftstudiosgames_1394744503.flv,c
a545773695,-1,,
a523287989,-1,,
a399181501,-1,,
a532780830,0,http://store81.media62.justin.tv/archives/2014-5-27/live_user_playouya_1401224784.flv,a
a532780830,1,http://store66.media55.justin.tv/archives/2014-5-27/live_user_playouya_1401226587.flv,a
a553274752,-1,,
c2694515,-1,,
c1664743,0,http://store23.media78.justin.tv/archives/highlight_2354.flv,c
c2554748,-1,,
c1676425,-1,,
c3237366,-1,,
c1620762,0,http://store23.media78.justin.tv/archives/2008-6-9/highlight_126663.flv,c
a525974303,-1,,
a526504145,-1,,
c1678712,-1,,
c3906516,0,http://media-cdn.twitch.tv/store149.media99/archives/2014-3-11/live_user_microsoftstudiosgames_1394557951.flv,c
c3906516,1,http://media-cdn.twitch.tv/store147.media98/archives/2014-3-11/live_user_microsoftstudiosgames_1394559753.flv,c
a553566503,0,http://store158.media104.justin.tv/archives/2014-8-1/live_user_sega_channel_retro_1406930765.flv,a
a553566503,1,http://store54.media49.justin.tv/archives/2014-8-1/live_user_sega_channel_retro_1406932567.flv,a
a553566503,2,http://store38.media38.justin.tv/archives/2014-8-1/live_user_sega_channel_retro_1406934370.flv,a
a553566503,3,http://store21.media80.justin.tv/archives/2014-8-1/live_user_sega_channel_retro_1406936173.flv,a
a553566503,4,http://store30.media30.justin.tv/archives/2014-8-2/live_user_sega_channel_retro_1406937976.flv,a
a553566503,5,http://store144.media97.justin.tv/archives/2014-8-2/live_user_sega_channel_retro_1406939778.flv,a
a360786052,-1,,
c4534952,0,http://store46.media46.justin.tv/archives/2014-6-24/live_user_playouya_1403643655.flv,c
c4534952,1,http://store136.media93.justin.tv/archives/2014-6-24/live_user_playouya_1403645457.flv,c
c4534952,2,http://store128.media89.justin.tv/archives/2014-6-24/live_user_playouya_1403647257.flv,c
c2555431,-1,,
c1732383,-1,,
a533519868,-1,,
c4579379,-1,,
a488781949,-1,,
a348476555,-1,,
a323771261,-1,,
c1670777,-1,,
c3263796,-1,,
a512065405,-1,,
c4676303,0,http://store161.media105.justin.tv/archives/2014-7-15/live_user_playouya_1405457997.flv,c
c4676303,1,http://store149.media99.justin.tv/archives/2014-7-15/live_user_playouya_1405459799.flv,c
c4676303,2,http://store26.media82.justin.tv/archives/2014-7-15/live_user_playouya_1405461600.flv,c
c1671164,-1,,
a507841048,-1,,
a506894892,-1,,
a342293808,-1,,
