video_id,username,views
a546871116,dota2ti_cn_3,21
a545949350,dota2ti_cn_3,3
a546554037,dota2ti_cn_3,3
a545645615,dota2ti_cn_3,5
a546247565,dota2ti_cn_3,13
a546594952,dota2ti_cn_3,18
a546554333,dota2ti_cn_4,10
a545948723,dota2ti_cn_4,10
a545645545,dota2ti_cn_4,0
a546870415,dota2ti_cn_4,11
a546247928,dota2ti_cn_4,9
a546637710,dota2ti_cn_1,19
a545947738,dota2ti_cn_1,19
a546247088,dota2ti_cn_1,18
a545644163,dota2ti_cn_1,24
a546870903,dota2ti_cn_1,31
a546553464,dota2ti_cn_1,3
a546869939,dota2ti_cn_2,11
a546248604,dota2ti_cn_2,18
a545950513,dota2ti_cn_2,8
a546554851,dota2ti_cn_2,17
a545646338,dota2ti_cn_2,3
